,fuel_type,body_type,owner_type,transmission_type,manufacture,seat,owner_no,oem,price,mileage,engine_capacity,city,kilometers_log
1222,1,3,1,1,2019.0,5.0,1,15,6.5,18.78,999.0,1,11.269872530661653
1223,1,3,2,1,2014.0,5.0,2,1,2.44,22.05,796.0,1,10.67099981505138
1224,1,2,1,1,2021.0,5.0,1,13,8.15,20.5,999.0,1,9.55414281969224
1225,2,4,1,2,2011.0,5.0,1,5,11.0,15.8,2143.0,1,11.211820372186306
1226,1,2,1,2,2022.0,5.0,1,10,11.5,18.76,1462.0,1,10.628254516851529
1227,1,3,3,1,2012.0,5.0,3,7,2.1,15.6,1196.0,1,11.245751653149798
1228,1,5,1,1,2018.0,7.0,1,16,3.91,19.02,1198.0,1,10.131379810872541
1229,1,2,1,1,2022.0,5.0,1,15,15.29,20.08,999.0,1,8.837708781126704
1230,1,2,1,2,2023.0,5.0,1,24,53.0,12.18,1969.0,1,9.210340371976184
1231,1,4,3,2,2004.0,5.0,3,4,2.5,9.0,2997.0,1,11.3508417348771
